zip,area_name,metro
90808,Long Beach,los-angeles_long-beach_anaheim
90810,Long Beach,los-angeles_long-beach_anaheim
90813,Long Beach,los-angeles_long-beach_anaheim
90814,Long Beach,los-angeles_long-beach_anaheim
90815,Long Beach,los-angeles_long-beach_anaheim
90822,Long Beach,los-angeles_long-beach_anaheim
90831,Long Beach,los-angeles_long-beach_anaheim
91001,Altadena,los-angeles_long-beach_anaheim
91006,Arcadia,los-angeles_long-beach_anaheim
91007,Arcadia,los-angeles_long-beach_anaheim
91008,Bradbury,los-angeles_long-beach_anaheim
91010,Duarte,los-angeles_long-beach_anaheim
91011,La Canada Flintridge,los-angeles_long-beach_anaheim
91016,Monrovia,los-angeles_long-beach_anaheim
91020,La Crescenta-Montrose,los-angeles_long-beach_anaheim
91024,Sierra Madre,los-angeles_long-beach_anaheim
91030,South Pasadena,los-angeles_long-beach_anaheim
91040,Los Angeles,los-angeles_long-beach_anaheim
91042,Los Angeles,los-angeles_long-beach_anaheim
91046,Glendale,los-angeles_long-beach_anaheim
91101,Pasadena,los-angeles_long-beach_anaheim
91103,Pasadena,los-angeles_long-beach_anaheim
91104,Pasadena,los-angeles_long-beach_anaheim
91105,Pasadena,los-angeles_long-beach_anaheim
91106,Pasadena,los-angeles_long-beach_anaheim
91107,Pasadena,los-angeles_long-beach_anaheim
91108,San Marino,los-angeles_long-beach_anaheim
91201,Glendale,los-angeles_long-beach_anaheim
91202,Glendale,los-angeles_long-beach_anaheim
91203,Glendale,los-angeles_long-beach_anaheim
91204,Glendale,los-angeles_long-beach_anaheim
91205,Glendale,los-angeles_long-beach_anaheim
91206,Glendale,los-angeles_long-beach_anaheim
91207,Glendale,los-angeles_long-beach_anaheim
91208,Glendale,los-angeles_long-beach_anaheim
91210,Glendale,los-angeles_long-beach_anaheim
91214,Glendale,los-angeles_long-beach_anaheim
91301,Agoura Hills,los-angeles_long-beach_anaheim
91302,Calabasas,los-angeles_long-beach_anaheim
91303,Los Angeles,los-angeles_long-beach_anaheim
91304,Los Angeles,los-angeles_long-beach_anaheim
91306,Los Angeles,los-angeles_long-beach_anaheim
91307,Los Angeles,los-angeles_long-beach_anaheim
91311,Los Angeles,los-angeles_long-beach_anaheim
91316,Los Angeles,los-angeles_long-beach_anaheim
91321,Santa Clarita,los-angeles_long-beach_anaheim
91324,Los Angeles,los-angeles_long-beach_anaheim
91325,Los Angeles,los-angeles_long-beach_anaheim
91326,Los Angeles,los-angeles_long-beach_anaheim
91330,Los Angeles,los-angeles_long-beach_anaheim
91331,Los Angeles,los-angeles_long-beach_anaheim
91335,Los Angeles,los-angeles_long-beach_anaheim
91340,San Fernando,los-angeles_long-beach_anaheim
91342,Los Angeles,los-angeles_long-beach_anaheim
91343,Los Angeles,los-angeles_long-beach_anaheim
91344,Los Angeles,los-angeles_long-beach_anaheim
91345,Los Angeles,los-angeles_long-beach_anaheim
91350,Santa Clarita,los-angeles_long-beach_anaheim
91351,Santa Clarita,los-angeles_long-beach_anaheim
91352,Los Angeles,los-angeles_long-beach_anaheim
91354,Santa Clarita,los-angeles_long-beach_anaheim
91355,Santa Clarita,los-angeles_long-beach_anaheim
91356,Los Angeles,los-angeles_long-beach_anaheim
91364,Los Angeles,los-angeles_long-beach_anaheim
91367,Los Angeles,los-angeles_long-beach_anaheim
91371,Pierce College,los-angeles_long-beach_anaheim
91381,Stevenson Ranch,los-angeles_long-beach_anaheim
91384,Castaic,los-angeles_long-beach_anaheim
91387,Santa Clarita,los-angeles_long-beach_anaheim
91390,Santa Clarita,los-angeles_long-beach_anaheim
91401,Los Angeles,los-angeles_long-beach_anaheim
91402,Los Angeles,los-angeles_long-beach_anaheim
91403,Los Angeles,los-angeles_long-beach_anaheim
91405,Los Angeles,los-angeles_long-beach_anaheim
91406,Los Angeles,los-angeles_long-beach_anaheim
91411,Los Angeles,los-angeles_long-beach_anaheim
91423,Los Angeles,los-angeles_long-beach_anaheim
91436,Los Angeles,los-angeles_long-beach_anaheim
91501,Burbank,los-angeles_long-beach_anaheim
91502,Burbank,los-angeles_long-beach_anaheim
91504,Burbank,los-angeles_long-beach_anaheim
91505,Burbank,los-angeles_long-beach_anaheim
91506,Burbank,los-angeles_long-beach_anaheim
91601,Los Angeles,los-angeles_long-beach_anaheim
91602,Los Angeles,los-angeles_long-beach_anaheim
91604,Los Angeles,los-angeles_long-beach_anaheim
91605,Los Angeles,los-angeles_long-beach_anaheim
91606,Los Angeles,los-angeles_long-beach_anaheim
91607,Los Angeles,los-angeles_long-beach_anaheim
91608,Universal City,los-angeles_long-beach_anaheim
91702,Azusa,los-angeles_long-beach_anaheim
91706,Baldwin Park,los-angeles_long-beach_anaheim
91711,Claremont,los-angeles_long-beach_anaheim
91722,Covina,los-angeles_long-beach_anaheim
91723,Covina,los-angeles_long-beach_anaheim
91724,Covina,los-angeles_long-beach_anaheim
91731,El Monte,los-angeles_long-beach_anaheim
91732,El Monte,los-angeles_long-beach_anaheim
91733,El Monte,los-angeles_long-beach_anaheim
91740,Glendora,los-angeles_long-beach_anaheim
91741,Glendora,los-angeles_long-beach_anaheim
91744,La Puente,los-angeles_long-beach_anaheim
91745,Hacienda Heights,los-angeles_long-beach_anaheim
91746,West Puente Valley,los-angeles_long-beach_anaheim
91748,Rowland Heights,los-angeles_long-beach_anaheim
91750,La Verne,los-angeles_long-beach_anaheim
91754,Monterey Park,los-angeles_long-beach_anaheim
91755,Monterey Park,los-angeles_long-beach_anaheim
91765,Diamond Bar,los-angeles_long-beach_anaheim
91766,Pomona,los-angeles_long-beach_anaheim
91767,Pomona,los-angeles_long-beach_anaheim
91768,Pomona,los-angeles_long-beach_anaheim
91770,Rosemead,los-angeles_long-beach_anaheim
91773,San Dimas,los-angeles_long-beach_anaheim
